JD,Magnitude,Magnitude_err,Flux,Flux_err
2456831.87621,14.382,0.02398,9.552,0.211
2456836.88909,14.379,0.02396,9.574,0.211
2456840.92786,14.627,0.02635,7.619,0.185
2456846.87588,14.58,0.02582,7.957,0.189
2456850.87397,14.51,0.0251,8.486,0.196
2456851.86591,14.583,0.02585,7.934,0.189
2456852.86569,14.284,0.02329,10.45,0.224
2456859.84932,14.492,0.02493,8.63,0.198
2456864.83963,14.404,0.02416,9.354,0.208
2456873.84114,14.234,0.02299,10.941,0.231
2456877.82618,14.511,0.02511,8.481,0.196
2456888.86698,14.15,0.02256,11.824,0.245
2456891.92576,14.32,0.02353,10.11,0.219
2456895.79527,14.332,0.02361,9.995,0.217
2456904.77802,14.192,0.02276,11.373,0.238
2456907.77273,13.914,0.02189,14.686,0.296
2456919.75252,12.476,0.02,55.229,1.016
2456924.74453,11.942,0.02,90.347,1.662
2456927.73684,11.653,0.02,117.919,2.17
2456930.72904,11.394,0.02,149.605,2.753
2456937.69529,10.982,0.02,218.727,4.025
2456948.67784,10.679,0.02,289.02,5.318
2456954.68465,10.692,0.02,285.624,5.255
2456960.68836,10.751,0.02,270.616,4.979
2456968.66642,10.873,0.02,241.8,4.449
2456974.78024,10.981,0.02,219.024,4.03
2456978.79929,11.046,0.02,206.285,3.796
2456983.63696,11.121,0.02,192.492,3.542
2456988.63135,11.194,0.02,179.937,3.311
2456992.63529,11.259,0.02,169.548,3.12
2457000.61847,11.365,0.02,153.726,2.829
2457003.61483,11.42,0.02,146.171,2.69
2457005.61502,11.442,0.02,143.254,2.636
2457008.60579,11.498,0.02,135.965,2.502
2457012.59989,11.571,0.02,127.123,2.339
2457015.60055,11.635,0.02,119.84,2.205
2457019.59899,11.704,0.02,112.538,2.071
2457033.56831,11.915,0.02,92.662,1.705
2457040.55741,12.013,0.02,84.595,1.557
2457044.55898,12.073,0.02,80.106,1.474
2457051.54753,12.164,0.02,73.634,1.355
2457056.53793,12.26,0.02,67.389,1.24
2457064.52585,12.348,0.02,62.178,1.144
2457079.51248,12.59,0.02,49.736,0.915
2457086.50498,12.639,0.02,47.557,0.875
2457173.93836,13.818,0.02185,16.059,0.323
2457178.93358,14.283,0.02329,10.456,0.224
2457181.92659,14.217,0.0229,11.118,0.234
2457185.92774,14.392,0.02406,9.457,0.209
2457186.91356,14.212,0.02287,11.166,0.235
2457189.90661,14.24,0.02302,10.884,0.231
2457196.88789,14.474,0.02476,8.772,0.2
